Rank,Infinitiv,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präsens_wir,Präsens_ihr,Präsens_Sie,Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*
1,sein,bin,bist,ist,sind,seid,sind,war,gewesen,wäre,sei,,,seid,,sein,
2,haben,habe,hast,hat,haben,habt,haben,hatte,gehabt,hätte,habe,hab,,habt,,haben,
3,einen,eine,einst,eint,einen,eint,einen,einte,geeint,einte,eine,ein,,eint,,haben,
4,werden,werde,wirst,wird,werden,werdet,werden,wurde,geworden,würde,werde,,,werdet,,sein,
5,können,kann,kannst,kann,können,könnt,können,konnte,gekonnt,könnte,-,,,-,,haben,
6,meinen,meine,meinst,meint,meinen,meint,meinen,meinte,gemeint,meinte,meine,,,meint,,haben,
7,wollen,will,willst,will,wollen,wollt,wollen,wollte,gewollt,wollte,-,,,-,,haben,
8,gehen,gehe,gehst,geht,gehen,geht,gehen,ging,gegangen,ginge,geh,gehe,,geht,gehet,sein,
9,sagen,sage,sagst,sagt,sagen,sagt,sagen,sagte,gesagt,sagte,sag,sage,,sagt,,haben,
10,sehen,sehe,siehst,sieht,sehen,seht,sehen,sah,gesehen,sähe,siehe,sieh,,seht,,haben,
11,machen,mache,machst,macht,machen,macht,machen,machte,gemacht,machte,mache,mach,,macht,,haben,
12,tun,tue,tust,tut,tun,tut,tun,tat,getan,täte,tue,tu,,tut,,haben,
13,kommen,komme,kommst,kommt,kommen,kommt,kommen,kam,gekommen,käme,komm,komme,,kommt,,sein,
14,geben,gebe,gibst,gibt,geben,gebt,geben,gab,gegeben,gäbe,gib,,,gebt,,haben,
15,wissen,weiß,weißt,weiß,wissen,wisst,wissen,wusste,gewusst,wüsste,wisse,,,wisset,wisst,haben,
16,sollen,soll,sollst,soll,sollen,sollt,sollen,sollte,gesollt,sollte,-,,,-,,haben,
17,denken,denke,denkst,denkt,denken,denkt,denken,dachte,gedacht,dächte,denk,denke,,denkt,,haben,
18,hören,höre,hörst,hört,hören,hört,hören,hörte,gehört,hörte,hör,höre,,hört,,haben,
19,finden,finde,findest,findet,finden,findet,finden,fand,gefunden,fände,finde,,,findet,,haben,
20,glauben,glaube,glaubst,glaubt,glauben,glaubt,glauben,glaubte,geglaubt,glaubte,glaub,glaube,,glaubt,,haben,
21,leben,lebe,lebst,lebt,leben,lebt,leben,lebte,gelebt,lebte,lebe,leb,,lebt,,haben,
22,mögen,mag,magst,mag,mögen,mögt,mögen,mochte,gemocht,möchte,-,,,-,,haben,
23,nehmen,nehme,nimmst,nimmt,nehmen,nehmt,nehmen,nahm,genommen,nähme,nimm,,,nehmt,,haben,
24,müssen,muss,musst,muss,müssen,müsst,müssen,musste,gemusst,müsste,-,,,-,,haben,
25,lassen,lasse,lässt,lässt,lassen,lasst,lassen,ließ,gelassen,ließe,lass,lasse,,lasst,lasset,haben,
26,warten,warte,wartest,wartet,warten,wartet,warten,wartete,gewartet,wartete,warte,,,wartet,,haben,
27,verstehen,verstehe,verstehst,versteht,verstehen,versteht,verstehen,verstand,verstanden,verstände,verstehe,,,versteht,,haben,
28,bringen,bringe,bringst,bringt,bringen,bringt,bringen,brachte,gebracht,brächte,bring,bringe,,bringt,,haben,
29,sichern,sichere,sicherst,sichert,sichern,sichert,sichern,sicherte,gesichert,sicherte,sichere,,,sichert,,haben,
30,fragen,frage,fragst,fragt,fragen,fragt,fragen,fragte,gefragt,fragte,frag,frage,,fragt,,haben,
31,kennen,kenne,kennst,kennt,kennen,kennt,kennen,kannte,gekannt,kennte,kenne,kenn,,kennt,,haben,
32,helfen,helfe,hilfst,hilft,helfen,helft,helfen,half,geholfen,hülfe,hilf,,,helft,,haben,
33,reden,rede,redest,redet,reden,redet,reden,redete,geredet,redete,red,rede,,redet,,haben,
34,stehen,stehe,stehst,steht,stehen,steht,stehen,stand,gestanden,stünde,stehe,steh,,steht,,haben,sein
35,bleiben,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,blieb,geblieben,bliebe,bleibe,bleib,,bleibt,,sein,
36,brauchen,brauche,brauchst,braucht,brauchen,braucht,brauchen,brauchte,gebraucht,brauchte,brauche,brauch,,braucht,,haben,
37,sprechen,spreche,sprichst,spricht,sprechen,sprecht,sprechen,sprach,gesprochen,spräche,sprich,,,sprecht,,haben,
38,passieren,passiere,passierst,passiert,passieren,passiert,passieren,passierte,passiert,passierte,passiere,passier,,passiert,,haben,sein
39,dürfen,darf,darfst,darf,dürfen,dürft,dürfen,durfte,gedurft,dürfte,-,,,-,,haben,
40,halten,halte,hältst,hält,halten,haltet,halten,hielt,gehalten,hielte,halt,halte,,haltet,,haben,
41,töten,töte,tötest,tötet,töten,tötet,töten,tötete,getötet,tötete,töte,,,tötet,,haben,
42,sterben,sterbe,stirbst,stirbt,sterben,sterbt,sterben,starb,gestorben,stürbe,stirb,,,sterbt,,sein,
43,fahren,fahre,fährst,fährt,fahren,fahrt,fahren,fuhr,gefahren,führe,fahr,fahre,,fahrt,,sein,haben
44,bekommen,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen,bekam,bekommen,bekäme,bekomm,bekomme,,bekommt,,haben,sein
45,arbeiten,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,arbeitete,gearbeitet,arbeitete,arbeite,,,arbeitet,,haben,
46,verdammen,verdamme,verdammst,verdammt,verdammen,verdammt,verdammen,verdammte,verdammt,verdammte,verdamm,verdamme,,verdammt,,haben,
47,versuchen,versuche,versuchst,versucht,versuchen,versucht,versuchen,versuchte,versucht,versuchte,versuche,,,versucht,,haben,
48,erzählen,erzähle,erzählst,erzählt,erzählen,erzählt,erzählen,erzählte,erzählt,erzählte,erzähl,erzähle,,erzählt,,haben,
49,essen,esse,isst,isst,essen,esst,essen,aß,gegessen,äße,iss,,,esst,,haben,
50,gleichen,gleiche,gleichst,gleicht,gleichen,gleicht,gleichen,glich,geglichen,gliche,gleiche,,,gleicht,,haben,
51,laufen,laufe,läufst,läuft,,,,lief,gelaufen,liefe,lauf,laufe,,lauft,,sein,haben
52,heißen,heiße,heißt,heißt,,,,hieß,geheißen,hieße,heiß,heiße,,heißt,,haben,
53,spielen,spiele,spielst,spielt,,,,spielte,gespielt,spielte,spiel,spiele,,spielt,,haben,
54,stimmen,stimme,stimmst,stimmt,,,,stimmte,gestimmt,stimmte,stimm,stimme,,stimmt,,haben,
55,verlieren,verliere,verlierst,verliert,,,,verlor,verloren,verlöre,verliere,verlier,,verliert,,haben,
56,schnellen,schnelle,schnellst,schnellt,,,,schnellte,geschnellt,schnellte,schnell,,,schnellt,,haben,
57,scheißen,scheiße,scheißt,scheißt,,,,schiss,geschissen,schisse,scheiß,,,scheißt,,haben,
58,suchen,suche,suchst,sucht,,,,suchte,gesucht,suchte,suche,such,,sucht,,haben,
59,fühlen,fühle,fühlst,fühlt,,,,fühlte,gefühlt,fühlte,fühl,fühle,,fühlt,,haben,
60,holen,hole,holst,holt,,,,holte,geholt,holte,hole,hol,,holt,,haben,
61,treffen,treffe,triffst,trifft,,,,traf,getroffen,träfe,triff,,,trefft,,haben,
62,schaffen,schaffe,schaffst,schafft,,,,schuf,geschaffen,schüfe,schaffe,,,schafft,,haben,
63,liegen,liege,liegst,liegt,,,,lag,gelegen,läge,lieg,liege,,liegt,,haben,sein
64,zeigen,zeige,zeigst,zeigt,,,,zeigte,gezeigt,zeigte,zeige,zeig,,zeigt,,haben,
65,erinnern,erinnere,erinnerst,erinnert,,,,erinnerte,erinnert,erinnerte,erinnere,,,erinnert,,haben,
66,danken,danke,dankst,dankt,,,,dankte,gedankt,dankte,dank,danke,,dankt,,haben,
67,stunden,stunde,stundest,stundet,,,,stundete,gestundet,stundete,stunde,,,stundet,,haben,
68,entschuldigen,entschuldige,entschuldigst,entschuldigt,,,,entschuldigte,entschuldigt,entschuldigte,entschuldige,,,entschuldigt,,haben,
69,schlafen,schlafe,schläfst,schläft,,,,schlief,geschlafen,schliefe,schlaf,schlafe,,schlaft,,haben,
70,fallen,falle,fällst,fällt,,,,fiel,gefallen,fiele,falle,fall,,fallt,,sein,
71,verschwinden,verschwinde,verschwindest,verschwindet,,,,verschwand,verschwunden,verschwände,verschwinde,,,verschwindet,,sein,
72,vergessen,vergesse,vergisst,vergisst,,,,vergaß,vergessen,vergäße,vergiss,,,vergesst,,haben,
73,fertigen,fertige,fertigst,fertigt,,,,fertigte,gefertigt,fertigte,fertig,fertige,,fertigt,,haben,
74,nennen,nenne,nennst,nennt,,,,nannte,genannt,nennte,nenn,nenne,,nennt,,haben,
75,wahren,wahre,wahrst,wahrt,,,,wahrte,gewahrt,wahrte,wahre,,,wahrt,,haben,
76,lieben,liebe,liebst,liebt,,,,liebte,geliebt,liebte,liebe,,,liebt,,haben,
77,stellen,stelle,stellst,stellt,,,,stellte,gestellt,stellte,stelle,,,stellt,,haben,
78,ziehen,ziehe,ziehst,zieht,,,,zog,gezogen,zöge,ziehe,zieh,,zieht,,haben,sein
79,kriegen,kriege,kriegst,kriegt,,,,kriegte,gekriegt,kriegte,kriege,krieg,,kriegt,,haben,
80,verrücken,verrücke,verrückst,verrückt,,,,verrückte,verrückt,verrückte,verrück,verrücke,,verrückt,,haben,
81,trinken,trinke,trinkst,trinkt,,,,trank,getrunken,tränke,trink,trinke,,trinkt,,haben,
82,hoffen,hoffe,hoffst,hofft,,,,hoffte,gehofft,hoffte,hoff,hoffe,,hofft,,haben,
83,schreiben,schreibe,schreibst,schreibt,,,,schrieb,geschrieben,schriebe,schreibe,schreib,,schreibt,,haben,
84,bereiten,bereite,bereitest,bereitet,,,,bereitete,bereitet,bereitete,bereite,,,bereitet,,haben,
85,setzen,setze,setzt,setzt,,,,setzte,gesetzt,setzte,setze,setz,,setzt,,haben,
86,bedeuten,bedeute,bedeutest,bedeutet,,,,bedeutete,bedeutet,bedeutete,bedeute,,,bedeutet,,haben,
87,rufen,rufe,rufst,ruft,,,,rief,gerufen,riefe,rufe,ruf,,ruft,,haben,
88,lesen,lese,liest,liest,,,,las,gelesen,läse,lies,,,lest,,haben,
89,lernen,lerne,lernst,lernt,,,,lernte,gelernt,lernte,lerne,,,lernt,,haben,
90,retten,rette,rettest,rettet,,,,rettete,gerettet,rettete,rette,,,rettet,,haben,
91,sorgen,sorge,sorgst,sorgt,,,,sorgte,gesorgt,sorgte,sorg,sorge,,sorgt,,haben,
92,sitzen,sitze,sitzt,sitzt,,,,saß,gesessen,säße,sitz,,,sitzt,,haben,sein
93,tragen,trage,trägst,trägt,,,,trug,getragen,trüge,trag,trage,,tragt,,haben,
94,scheinen,scheine,scheinst,scheint,,,,schien,geschienen,schiene,scheine,schein,,scheint,scheinet,haben,
95,verlassen,verlasse,verlässt,verlässt,,,,verließ,verlassen,verließe,verlasse,,,verlasst,,haben,
96,ruhen,ruhe,ruhst,ruht,,,,ruhte,geruht,ruhte,ruh,,,ruht,,haben,
97,kümmern,kümmere,kümmerst,kümmert,,,,kümmerte,gekümmert,kümmerte,kümmere,,,kümmert,,haben,
98,versprechen,verspreche,versprichst,verspricht,,,,versprach,versprochen,verspräche,versprich,,,versprecht,,haben,
99,reichen,reiche,reichst,reicht,,,,reichte,gereicht,reichte,reiche,,,reicht,,haben,
100,anrufen,rufe an,rufst an,ruft an,,,,rief an,angerufen,riefe an,ruf an,,,ruft an,,haben,
101,bestimmen,bestimme,bestimmst,bestimmt,,,,bestimmte,bestimmt,bestimmte,bestimme,,,bestimmt,,haben,
102,langen,lange,langst,langt,,,,langte,gelangt,langte,lange,lang,,langt,,haben,
103,umbringen,bringe um,bringst um,bringt um,,,,brachte um,umgebracht,brächte um,bring um,,,bringt um,,haben,
104,tollen,tolle,tollst,tollt,,,,tollte,getollt,tollte,toll,tolle,,tollt,,haben,sein
105,fangen,fange,fängst,fängt,,,,fing,gefangen,finge,fang,fange,,fangt,,haben,
106,kaufen,kaufe,kaufst,kauft,,,,kaufte,gekauft,kaufte,kauf,,,kauft,,haben,
107,wagen,wage,wagst,wagt,,,,wagte,gewagt,wagte,wage,,,wagt,,haben,
108,altern,altere,alterst,altert,,,,alterte,gealtert,alterte,altere,,,altert,,sein,
109,erwarten,erwarte,erwartest,erwartet,,,,erwartete,erwartet,erwartete,erwarte,,,erwartet,,haben,
110,folgen,folge,folgst,folgt,,,,folgte,gefolgt,folgte,folge,folg,,folgt,,sein,haben
111,schauen,schaue,schaust,schaut,,,,schaute,geschaut,schaute,schaue,schau,,schaut,,haben,
112,heiraten,heirate,heiratest,heiratet,,,,heiratete,geheiratet,heiratete,heirate,,,heiratet,,haben,
113,lachen,lache,lachst,lacht,,,,lachte,gelacht,lachte,lache,lach,,lacht,,haben,
114,schlagen,schlage,schlägst,schlägt,,,,schlug,geschlagen,schlüge,schlag,schlage,,schlagt,,haben,
115,gefallen,gefalle,gefällst,gefällt,,,,gefiel,gefallen,gefiele,gefalle,gefall,,gefallt,,haben,
116,bezahlen,bezahle,bezahlst,bezahlt,,,,bezahlte,bezahlt,bezahlte,bezahle,,,bezahlt,,haben,
117,stecken,stecke,steckst,steckt,,,,steckte,gesteckt,steckte,steck,,,steckt,,haben,
118,gewinnen,gewinne,gewinnst,gewinnt,,,,gewann,gewonnen,gewönne,gewinn,,,gewinnt,,haben,
119,lügen,lüge,lügst,lügt,,,,log,gelogen,löge,lüg,,,lügt,,haben,
120,klingen,klinge,klingst,klingt,,,,klang,geklungen,klänge,klinge,kling,,klingt,,haben,
121,vertrauen,vertraue,vertraust,vertraut,,,,vertraute,vertraut,vertraute,vertrau,vertraue,,vertraut,vertrauet,haben,
122,ändern,ändere,änderst,ändert,,,,änderte,geändert,änderte,ändere,,,ändert,,haben,
123,benutzen,benutze,benutzt,benutzt,,,,benutzte,benutzt,benutzte,benutze,benutz,,benutzt,,haben,
124,schicken,schicke,schickst,schickt,,,,schickte,geschickt,schickte,schick,,,schickt,,haben,
125,erklären,erkläre,erklärst,erklärt,,,,erklärte,erklärt,erklärte,erkläre,erklär,,erklärt,,haben,
126,legen,lege,legst,legt,,,,legte,gelegt,legte,lege,leg,,legt,,haben,
127,wiedersehen,sehe wieder,siehst wieder,sieht wieder,,,,sah wieder,wiedergesehen,sähe wieder,sieh wieder,siehe wieder,,seht wieder,,haben,
128,aufhören,höre auf,hörst auf,hört auf,,,,hörte auf,aufgehört,hörte auf,hör auf,höre auf,,hört auf,,haben,
129,anfangen,fange an,fängst an,fängt an,,,,fing an,angefangen,finge an,fang an,fange an,,fangt an,,haben,
130,beginnen,beginne,beginnst,beginnt,,,,begann,begonnen,begönne,beginn,beginne,,beginnt,,haben,
131,verdienen,verdiene,verdienst,verdient,,,,verdiente,verdient,verdiente,verdiene,,,verdient,,haben,
132,freuen,freue,freust,freut,,,,freute,gefreut,freute,freu,,,freut,,haben,
133,wohnen,wohne,wohnst,wohnt,,,,wohnte,gewohnt,wohnte,wohne,wohn,,wohnt,,haben,
134,fliegen,fliege,fliegst,fliegt,,,,flog,geflogen,flöge,flieg,fliege,,fliegt,,sein,haben
135,geschehen,-,-,geschieht,,,,geschah,geschehen,geschähe,-,,,-,,sein,
136,gedenken,gedenke,gedenkst,gedenkt,,,,gedachte,gedacht,gedächte,gedenk,gedenke,,gedenkt,,haben,
137,funktionieren,funktioniere,funktionierst,funktioniert,,,,funktionierte,funktioniert,funktionierte,funktioniere,funktionier,,funktioniert,,haben,
138,verkaufen,verkaufe,verkaufst,verkauft,,,,verkaufte,verkauft,verkaufte,verkauf,verkaufe,,verkauft,,haben,
139,schießen,schieße,schießt,schießt,,,,schoss,geschossen,schösse,schieß,,,schießt,,haben,sein
140,dauern,dauere,dauerst,dauert,,,,dauerte,gedauert,dauerte,dauere,,,dauert,,haben,
141,kämpfen,kämpfe,kämpfst,kämpft,,,,kämpfte,gekämpft,kämpfte,kämpf,kämpfe,,kämpft,,haben,
142,wünschen,wünsche,wünschst,wünscht,,,,wünschte,gewünscht,wünschte,wünsche,,,wünscht,,haben,
143,werfen,werfe,wirfst,wirft,,,,warf,geworfen,würfe,wirf,,,werft,,haben,
144,aussehen,sehe aus,siehst aus,sieht aus,,,,sah aus,ausgesehen,sähe aus,sieh aus,siehe aus,,seht aus,,haben,
145,führen,führe,führst,führt,,,,führte,geführt,führte,führe,,,führt,,haben,
146,öffnen,öffne,öffnest,öffnet,,,,öffnete,geöffnet,öffnete,öffne,,,öffnet,,haben,
147,interessieren,interessiere,interessierst,interessiert,,,,interessierte,interessiert,interessierte,interessiere,interessier,,interessiert,,haben,
148,brechen,breche,brichst,bricht,,,,brach,gebrochen,bräche,brich,,,brecht,,haben,sein
149,verletzen,verletze,verletzt,verletzt,,,,verletzte,verletzt,verletzte,verletze,,,verletzt,,haben,
150,bitten,bitte,bittest,bittet,,,,bat,gebeten,bäte,bitte,,,bittet,,haben,
151,verstecken,verstecke,versteckst,versteckt,,,,versteckte,versteckt,versteckte,verstecke,,,versteckt,,haben,
152,erledigen,erledige,erledigst,erledigt,,,,erledigte,erledigt,erledigte,erledig,erledige,,erledigt,,haben,
153,sondern,sondere,sonderst,sondert,,,,sonderte,gesondert,sonderte,sondere,,,sondert,,haben,
154,erfahren,erfahre,erfährst,erfährt,,,,erfuhr,erfahren,erführe,erfahr,erfahre,,erfahrt,,haben,
155,vorstellen,stelle vor,stellst vor,stellt vor,,,,stellte vor,vorgestellt,stellte vor,stell vor,stelle vor,,stellt vor,,haben,
